input_folder,embedding,model,experiment,fold,metric,value,model_class,summary_path,source_file
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,1,mmd_rank_pca,0.4073,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,2,rmse_average,0.0513,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,2,rmse_rank_average,0.4377,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,2,cosine_pca_average,0.7735,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,2,cosine_rank_pca_average,0.4249,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,2,cosine_logfc,0.124,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,2,cosine_rank_logfc,0.4758,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,2,r2_score_scores,-0.06029,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,2,top_k_recall_scores,0.0,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,2,mmd_pca,1.536,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,2,mmd_rank_pca,0.4326,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,3,rmse_average,0.04709,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold3/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,3,rmse_rank_average,0.3854,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold3/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,3,cosine_pca_average,0.7895,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold3/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,3,cosine_rank_pca_average,0.324,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold3/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,3,cosine_logfc,0.1818,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold3/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,3,cosine_rank_logfc,0.3894,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold3/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,3,r2_score_scores,-0.05445,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold3/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,3,top_k_recall_scores,0.0,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold3/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,3,mmd_pca,1.468,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold3/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,linear,linear_ecfp,3,mmd_rank_pca,0.3484,LinearAdditive,results/sciplex3_cv/max100/linear_ecfp/fold3/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,0,rmse_average,0.02417,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,0,rmse_rank_average,0.3566,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,0,cosine_pca_average,0.9044,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,0,cosine_rank_pca_average,0.3149,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,0,cosine_logfc,0.2864,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,0,cosine_rank_logfc,0.3839,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,0,r2_score_scores,-0.1794,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,0,top_k_recall_scores,0.0,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,0,mmd_pca,2.041,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,0,mmd_rank_pca,0.3037,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,1,rmse_average,0.02363,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,1,rmse_rank_average,0.3316,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,1,cosine_pca_average,0.9167,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,1,cosine_rank_pca_average,0.2948,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,1,cosine_logfc,0.3403,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,1,cosine_rank_logfc,0.3389,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,1,r2_score_scores,-0.1873,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,1,top_k_recall_scores,0.0,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,1,mmd_pca,1.996,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,1,mmd_rank_pca,0.2865,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,2,rmse_average,0.02287,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,2,rmse_rank_average,0.3842,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,2,cosine_pca_average,0.9241,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,2,cosine_rank_pca_average,0.1454,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,2,cosine_logfc,0.2918,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,2,cosine_rank_logfc,0.3889,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,2,r2_score_scores,-0.1794,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,2,top_k_recall_scores,0.0,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,2,mmd_pca,1.996,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,2,mmd_rank_pca,0.1461,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,3,rmse_average,0.02371,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold3/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,3,rmse_rank_average,0.3291,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold3/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,3,cosine_pca_average,0.9146,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold3/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,3,cosine_rank_pca_average,0.2075,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold3/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,3,cosine_logfc,0.316,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold3/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,3,cosine_rank_logfc,0.3563,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold3/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,3,r2_score_scores,-0.1829,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold3/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,3,top_k_recall_scores,0.0,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold3/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,3,mmd_pca,2.065,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold3/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,latent,latent_ecfp,3,mmd_rank_pca,0.1941,LatentAdditive,results/sciplex3_cv/max100/latent_ecfp/fold3/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,0,rmse_average,0.02478,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,0,rmse_rank_average,0.3287,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,0,cosine_pca_average,0.9055,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,0,cosine_rank_pca_average,0.3368,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,0,cosine_logfc,0.2231,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,0,cosine_rank_logfc,0.3604,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,0,r2_score_scores,-0.06531,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,0,top_k_recall_scores,0.0,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,0,mmd_pca,2.085,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,0,mmd_rank_pca,0.3353,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold0/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,1,rmse_average,0.02363,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,1,rmse_rank_average,0.2979,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,1,cosine_pca_average,0.9252,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,1,cosine_rank_pca_average,0.302,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,1,cosine_logfc,0.2733,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,1,cosine_rank_logfc,0.326,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,1,r2_score_scores,-0.06605,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,1,top_k_recall_scores,0.0,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,1,mmd_pca,2.002,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,1,mmd_rank_pca,0.3004,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold1/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,2,rmse_average,0.02379,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,2,rmse_rank_average,0.3837,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,2,cosine_pca_average,0.9299,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,2,cosine_rank_pca_average,0.3846,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
results/sciplex3_cv/max100,ecfp,decoder,decoder_ecfp,2,cosine_logfc,0.2112,DecoderOnly,results/sciplex3_cv/max100/decoder_ecfp/fold2/evaluation/summary.csv,summary_tables/sciplex3_cv/sciplex3_cv_max100_ecfp_per_fold.csv
